FECHA,AUTOR,TEXTO,ANALISIS DE SENTIMIENTO TBLOB
Tue Jun 02 23:48:58 +0000 2020,Radio Centro, ATENCION El numero de fallecidos por coronavirus ascendio a 3 438 en Ecuador donde la cifra de contagios confirmados totaliza 40 414 es decir 420 casos mas en las ultimas 24 horas 2 201 fallecidos probables por COVID 19 En Tungurahua 68 muertos y 527 contagios ,"('Neutro', 0)"
Tue Jun 02 23:41:50 +0000 2020,Reporte Ya, 2Jun Coronavirus Veneuela Jorge Rodriguez llamo irresponsable al presidente de Brasil Jair Bolsonaro por como ha llevado los casos de coronavirus El ministro del regimen dijo que Venezuela era una isla en comparacion con Peru Chile Brasil y Ecuador Lobo21Jose,"('Neutro', 0)"
Tue Jun 02 23:30:44 +0000 2020,Robert Lobo,Jorge Rodriguez llamo irresponsable al presidente de Brasil Jair Bolsonaro por como ha llevado los casos de coronavirus El ministro del regimen dijo que Venezuela era una isla en comparacion con Peru Chile Brasil y Ecuador,"('Neutro', 0)"
Tue Jun 02 23:30:12 +0000 2020,Lenis Rojas Santaell,Informa Jorge Rodriguez que hoy 02Jun se han detectado 156 casos de Coronavirus Covid 19 en Venezuela 6 comunitarios y 150 casos importados 9 por contactos con viajeros internacionales 136 de Colombia 3 de Ecuador y 2 Peru y 1 fallecido Total 1 819 casos QuedateEnCasa,"('Neutro', 0)"
Tue Jun 02 23:29:09 +0000 2020,Deportes Tiburon, DTinforma Hoy Martes 02 06 Reportan 156 nuevos casos de Coronavirus para ascender a 1 819 la cifra en el pais 6 Casos Comunitarios 150 Casos Importados Cont Viaj Colombia Ecuador Peru Reportan 1 Fallecido 18 SR de 83 Anos De Parroquia El Recreo Distrito Capital,"('Neutro', 0)"
Tue Jun 02 23:27:52 +0000 2020,Cesar Saavedra, 2Jun Jorge Rodriguez informa la deteccion de 156 casos de coronavirus y un fallecido en Miranda 6 casos Covid 19 por transmision comunitaria y 150 importados 9 de contacto Viajeros de Colombia 136Colombia 3 Ecuador 2 Peru Total de casos en 1 819 Total de fallecidos 18 ,"('Neutro', 0)"
Tue Jun 02 23:16:17 +0000 2020,El Nuevo Diario,El ministro de la Presidencia Gustavo Montalvo informo este martes a traves de una alocucion que Republica Dominicana es el segundo pais en que se ha reducido el crecimiento de nuevos casos de coronavirus superado por Ecuador ElNuevoDiarioRD ,"('Neutro', 0)"
Tue Jun 02 23:04:38 +0000 2020,El Alma en Orsai,Coronavirus Ecuador supera los 40 000 casos mientras avanza en su reapertura ,"('Neutro', 0)"
Tue Jun 02 22:53:12 +0000 2020,Carlos MORENO, Hay que salir de la vision cortoplacista al hacer ciudad Gracias a Blanca Moncada del Diario Expresoec por el brillante resumen del foro virtual de hoy en Guayaquil Ecuador en el que tuve el placer de intervenir los desafios de la ciudad Covid19 ,"('Neutro', 0)"
Tue Jun 02 22:51:37 +0000 2020,Richard Moscoso, Covid 19 coronavirus Comparto mis calculos y tablas al dia de hoy Peru ya esta en el top ten mundial puesto 10 Brasil 2 Chile 13 Mexico 14 Ecuador 24 La mala noticia es que ahora los contagiados se duplican mas rapido c 15 dias ,"('Positivo', 1)"
Tue Jun 02 22:51:09 +0000 2020,Ecuador en Directo, COMUNIDAD 127 PERIODISTAS EN EL MUNDO MURIERON POR CORONAVIRUS TRAS CUBRIR LA PANDEMIA 12 DE ELLOS EN ECUADOR ,"('Neutro', 0)"
Tue Jun 02 22:46:54 +0000 2020,singarita,BiessEcuador tengo 2 prestamos prendarios en el Monte Piedad en Machala Pensaba que tenia 6 meses para resolver este tema pero me dicen que tengo que ir inmediatamente Favor su ayuda soy una persona de la 3ra edad y por salud hice esos prestamos ,"('Neutro', 0)"
Tue Jun 02 22:38:03 +0000 2020,Joven Club Mzllo I,COVID 19 en el mundo Ecuador supera los 40 000 contagiados por coronavirus ,"('Neutro', 0)"
Tue Jun 02 22:24:32 +0000 2020,Esteban Villamar,eluniversocom Muy buena noticia El sector turistico ha sido uno de los mas afectados por el coronavirus en Ecuador Es momento de irlo reactivando poco a poco y para ello los vuelos internacionales son el primer paso De poquito a poquito el pais debe volver a la normalidad social y economica,"('Positivo', 1)"
Tue Jun 02 22:19:53 +0000 2020,Esteban Villamar,eluniversocom AsambleaEcuador vicenteopi Gran noticia y mas aun en estos momentos que el Ecuador necesita desesperadamente producir y vender mas para reactivar su economia golpeada por el paro de octubre y la crisis del coronavirus Covid 19,"('Neutro', 0)"
Tue Jun 02 22:14:23 +0000 2020,J Elias Sinchi,La corrupcion no tiene verguenza los Bucaram estan en un tour de relaciones publicas para cambiar el pensar del Ecuador lagrimas de cocodrilo no eliminan las malas manas coronavirus ,"('Neutro', 0)"
Tue Jun 02 22:10:11 +0000 2020,Periodismovivo, periodismovivo Coronavirus Ecuador supera los 40 000 casos mientras avanza en su reapertura Telam ,"('Neutro', 0)"
Tue Jun 02 22:09:12 +0000 2020,XYZ Radio (Ecuador), ATENCION Adjudicacion de frecuencias en Ecuador se da en medio de emergencia por pandemia del Coronavirus ,"('Neutro', 0)"
Tue Jun 02 22:08:25 +0000 2020,EP Internacional, Ecuador suma otros 420 casos de coronavirus en el ultimo dia y supera los 40 000 contagios ,"('Neutro', 0)"
Tue Jun 02 22:06:00 +0000 2020,Dato Ciudadano, ATENCION Ecuador supera la barrera de los 40 mil contagios por covid19 segun el Gobierno Informe de este 2 de junio del 2020 sobre el coronavirus en el pais ,"('Neutro', 0)"
Tue Jun 02 22:03:05 +0000 2020,Coralia Perez Y,Ya son mas de 40 000 contagiados por coronavirus en Ecuador y los muertos superan los 5 000 Creen que pueden quedarse en sus casas o por lo menos usar mascarilla o no mismo ,"('Neutro', 0)"
Tue Jun 02 21:51:14 +0000 2020,Flor Marina Castella,Fallece medico cubano a causa del coronavirus en Ecuador ,"('Neutro', 0)"
Tue Jun 02 21:29:23 +0000 2020,Leonidas Iza Salazar Oficial,En los pueblos y nacionalidades A falta de institucionalidad a falta de un buen manejo de la crisis ha sido la capacidad de la comunidad la que ha permitido sostener y hacer frente a la pandemia Medios EFEnoticias CONAIE Ecuador Micc Ec CIDH ,"('Neutro', 0)"
Tue Jun 02 21:24:29 +0000 2020,CalientitosTV Santiago Castro,santiagocastrot ATENCION Ecuador supera la barrera de los 40 mil contagios por covid19 segun el Gobierno Informe de este 2 de junio del 2020 sobre el coronavirus en el pais en Ecuador Guayaquil ,"('Neutro', 0)"
Tue Jun 02 21:15:03 +0000 2020,Grupo La Provincia,Coronavirus Ecuador supera los 40 000 casos mientras avanza en su reapertura via laprovinciabsas,"('Neutro', 0)"
Tue Jun 02 21:10:05 +0000 2020,Noticias de,Coronavirus Ecuador supera los 40 000 casos mientras avanza en su reapertura via Noticiasde ,"('Neutro', 0)"
Tue Jun 02 21:10:00 +0000 2020,Efecto Cocuyo, ElDato Peru fue el pais del mundo con mas periodistas en activo fallecidos por coronavirus con 15 muertes confirmadas seguido de Brasil y Mexico 13 cada uno y de Ecuador y Estados Unidos ambos con 12 fallecidos ,"('Neutro', 0)"
