FECHA DE CREACION,AUTOR,TEXTO,ANÁLISIS DE SENTIMIENTOS,POSITIVOS,NEGATIVOS,NEUTROS
Tue May 26 23:58:41 +0000 2020,Soi QuiiC/ie Lietiaadz,Brasil es ya por muy poco el foco del Coronavirus en el mundo Y es nuestro vecino Ecuador tiene muertos por doquier muchisimos infectados Y es nuestro vecino Pero para IvanDuque el problema es Venezuela que con lo que puede esta intentando controlar el tema ,-1,,1,
Tue May 26 23:54:00 +0000 2020,FortuneMexico,La decision de LATAM que incluye a las filiales en Chile Peru Ecuador y Colombia no tendra un impacto inmediato en los vuelos de pasajeros o de carga coronavirus ,1,1,,
Tue May 26 23:52:38 +0000 2020,Luis Eduardo Toro A,BBC News Mundo Coronavirus en Ecuador asi hacen frente al coronavirus los indigenas de la Amazonia y como se preparan para una postpandemia de hambre desempleo y trueque via bbcmundo,0,,,1
Tue May 26 23:50:04 +0000 2020,StudioFutbol, Coronavirus en Ecuador 37 656 contagiados confirmados ,0,,,1
Tue May 26 23:49:30 +0000 2020,Luis Rodriguez,clarincom Y se los comen no veo muertos tirados como en ecuador o fosas comunes como en Brasil bueno en Colombia haya o no haya coronavirus son los campeones mundiales que digo mundiales son campeones universales de las fosas comunes ,-1,,1,
Tue May 26 23:47:52 +0000 2020,#Â¿NOMBRE,Coronavirus De acuerdo a ultimo digito de placa taxis podran circular tres dias a la semana en Ecuador por eluniversocom,0,,,1
Tue May 26 23:47:31 +0000 2020,Giovanni Lopez Jr.,La ONU es ya hizo el pedido pero en Ecuador se ha hecho caso omiso y esto conlleva al contagio en las carceles de Ecuador ONU pide liberacion de prisioneros vulnerables por causa de la pandemia del coronavirus via France24 es ,-1,,1,
Tue May 26 23:41:33 +0000 2020,Gabo Bracho,Coronavirus en Ecuador las multitudinarias protestas por las drasticas medidas economicas y recortes de Lenin Moreno ,-1,,1,
Tue May 26 23:41:22 +0000 2020,Jorge Garcia Alberti,Con mas de 37 000 contagios y 5276 muertes Ecuador llega a los 70 dias de estado de emergencia Guayaquil ha sido centro de la pandemia La capital Quito ha sido afectada en menor medida y el alcalde esta pidiendo pasar a una fase de color amarillo ,0,,,1
Tue May 26 23:38:09 +0000 2020,InformandoEcuador,Coronavirus en Ecuador Duran esta entre los siete cantones con mas casos y tiene pruebas represadas ,-1,,1,
Tue May 26 23:32:16 +0000 2020,Sostenix,Coronavirus Latinoamerica Fallecidos por millon de habitantes Ecuador Peru y Brasil estan en el horno Nosotros dependemos de seguir haciendo lo mismo para seguir estando ahi abajo ,-1,,1,
Tue May 26 23:30:00 +0000 2020,GKecuador,Desde mediados de abril hasta el 23 de mayo Guayaquil ha aumentado de 15 5 a 35 casos por cada diez mil personas Quito ha ido de 2 3 a 11 5 en el mismo periodo Lee el analisis completo de mjavierrod e ivanduespin ,-1,,1,
Tue May 26 23:22:41 +0000 2020,Gustavo Vaca Trigo,Guayas Muertes registradas por TODAS LAS CAUSAS en el Registro Civil ACUMULADO MAYO 2020 coronavirus coronavirusEcuador Covid 19 COVID19Ecuador QuedateEnCasa Ecuador Guayas Rstats ,-1,,1,
Tue May 26 23:22:07 +0000 2020,Nessa,BBC Mundo Coronavirus en Ecuador asi hacen frente al coronavirus los indigenas de la Amazonia y como se preparan para una postpandemia de hambre desempleo y trueque ,-1,,1,
